GeoFIPS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""05001""",47952,38107,76665,102722,42717,72417,63267,107888,154250,94020,65410,93897,166433,129828,117528,162636,95788,(D),51959,84756,105708,90344,160398
" ""05003""",32179,24020,55149,62821,60017,71547,64964,44691,26138,(D),50860,25923,44186,20377,30813,57463,57278,47583,62791,53740,78292,68925,66170
" ""05005""",4018,2674,4139,7779,8312,9761,10898,5008,1788,3812,2034,1877,1634,5195,3215,2149,1926,2015,1988,1708,2650,9410,2890
" ""05007""",124368,118415,87510,181843,140384,69628,100110,106061,9491,16195,13091,87794,145161,228973,208470,136234,178025,196550,47120,26507,182352,394633,207418
" ""05009""",(D),(D),(D),48833,(D),(D),35020,(D),(D),9517,2847,1548,(D),26402,3936,(D),(D),(D),(D),1971,2016,26068,2139
" ""05011""",26143,24811,28770,32539,32163,31711,35365,25750,17593,31775,25864,47441,39672,44112,38505,33681,34710,37392,26506,20886,43612,53866,43842
" ""05013""",5201,5978,7210,7849,6675,8292,6704,3694,2987,3531,2983,2589,2614,3088,3462,2623,3374,3030,2018,1336,3377,5050,3687
" ""05015""",55833,51198,47178,105481,100008,76690,98538,74782,4118,10479,8555,5502,(D),(D),(D),(D),(D),(D),5286,4528,48580,154649,31333
" ""05017""",29542,19901,51731,58972,53152,44762,67140,49645,65742,66218,91575,101719,110988,51200,18339,51687,46582,37498,39170,49034,81972,66401,72606
" ""05019""",20270,21388,23032,27308,26181,28858,30120,24607,21018,18125,15703,19485,20258,20295,15026,18377,20503,21031,22189,22369,23821,25609,27983
" ""05021""",34137,25581,62424,68389,50646,59752,72880,87585,112694,97156,82368,89283,112496,36927,8710,8622,48183,39972,19911,37015,64768,88953,103481
" ""05023""",27224,29720,21175,34262,25910,22084,26572,18960,5509,9567,7089,7187,11564,21318,14545,7387,9368,7256,4820,3864,7541,22865,9538
" ""05025""",32685,34930,28635,55676,51771,32493,43108,54077,25470,25237,9147,31600,41473,60870,(D),(D),(D),(D),32473,7940,56970,113270,72262
" ""05027""",17622,14836,13151,21922,20513,18002,21398,22798,13836,9722,4918,10663,15784,23746,21002,17719,22138,22187,13100,7706,25627,42932,30224
" ""05029""",39534,34930,28765,59355,50791,41488,58997,57111,39610,30669,24427,45221,78738,90255,83645,61167,68599,73931,42312,16265,75278,130680,88785
" ""05031""",54957,36667,(D),(D),(D),(D),(D),(D),(D),198914,232315,122524,177926,41730,36025,29144,33970,19852,27199,23740,64743,73392,37946
" ""05033""",16823,11964,13387,25413,21768,21543,15722,15571,9398,15848,19521,33565,21503,26429,14251,3009,5349,4477,4361,3858,13975,12027,9687
