state,date,precip_mm
Massachusetts,2002-06-01T00:00:00.000000000,116.56715099849283
Kansas,2002-06-01T00:00:00.000000000,69.23484444180899
Nevada,2002-06-01T00:00:00.000000000,6.726558421548724
Vermont,2002-06-01T00:00:00.000000000,179.800048669695
Connecticut,2002-06-01T00:00:00.000000000,127.88629436728395
New Jersey,2002-06-01T00:00:00.000000000,125.74332791526845
District of Columbia,2002-06-01T00:00:00.000000000,69.33341471354167
North Carolina,2002-06-01T00:00:00.000000000,75.39401430135487
Utah,2002-06-01T00:00:00.000000000,3.8983686539811275
North Dakota,2002-06-01T00:00:00.000000000,87.81488526570048
South Carolina,2002-06-01T00:00:00.000000000,75.88214245934506
Mississippi,2002-06-01T00:00:00.000000000,81.52897768836868
Colorado,2002-06-01T00:00:00.000000000,22.231129479786706
South Dakota,2002-06-01T00:00:00.000000000,39.306533782736714
Oklahoma,2002-06-01T00:00:00.000000000,93.75090588462653
Wyoming,2002-06-01T00:00:00.000000000,16.880672999317067
West Virginia,2002-06-01T00:00:00.000000000,112.153375
Maine,2002-06-01T00:00:00.000000000,105.82596846846847
Hawaii,2002-06-01T00:00:00.000000000,
New Hampshire,2002-06-01T00:00:00.000000000,153.31267372465663
Arizona,2002-06-01T00:00:00.000000000,0.16547430286439557
Rhode Island,2002-06-01T00:00:00.000000000,105.2009869637574
Maryland,2002-07-01T00:00:00.000000000,67.93882674722404
Iowa,2002-07-01T00:00:00.000000000,107.87656164383561
Delaware,2002-07-01T00:00:00.000000000,61.06740851151316
Ohio,2002-07-01T00:00:00.000000000,69.71780885064535
Pennsylvania,2002-07-01T00:00:00.000000000,58.73559985483202
Nebraska,2002-07-01T00:00:00.000000000,28.32335777420651
Washington,2002-07-01T00:00:00.000000000,13.962460634437306
Puerto Rico,2002-07-01T00:00:00.000000000,
Alabama,2002-07-01T00:00:00.000000000,136.30385288966724
Arkansas,2002-07-01T00:00:00.000000000,105.12300184689849
New Mexico,2002-07-01T00:00:00.000000000,57.19274876251547
Texas,2002-07-01T00:00:00.000000000,119.53037090366104
California,2002-07-01T00:00:00.000000000,1.6268868232650502
Kentucky,2002-07-01T00:00:00.000000000,86.2233803851175
Georgia,2002-07-01T00:00:00.000000000,111.87228164256933
Wisconsin,2002-07-01T00:00:00.000000000,92.708293549756
Oregon,2002-07-01T00:00:00.000000000,4.774624807098766
Missouri,2002-07-01T00:00:00.000000000,78.97018263138278
Virginia,2002-07-01T00:00:00.000000000,101.09694625407167
Tennessee,2002-07-01T00:00:00.000000000,105.15623992910086
Louisiana,2002-07-01T00:00:00.000000000,136.8368263473054
New York,2002-07-01T00:00:00.000000000,50.84214945755014
Michigan,2002-07-01T00:00:00.000000000,81.90666390728477
Idaho,2002-07-01T00:00:00.000000000,13.205707598924047
Florida,2002-07-01T00:00:00.000000000,192.87724977340412
Alaska,2002-07-01T00:00:00.000000000,
Illinois,2002-07-01T00:00:00.000000000,66.15957717059952
Montana,2002-07-01T00:00:00.000000000,35.90516941621914
Minnesota,2002-07-01T00:00:00.000000000,125.43050292800551
Indiana,2002-07-01T00:00:00.000000000,67.37240222728867
Massachusetts,2002-07-01T00:00:00.000000000,50.441020629238885
Kansas,2002-07-01T00:00:00.000000000,43.614188013915246
Nevada,2002-07-01T00:00:00.000000000,7.747920896171694
Vermont,2002-07-01T00:00:00.000000000,84.68433646982479
Connecticut,2002-07-01T00:00:00.000000000,65.75690104166667
New Jersey,2002-07-01T00:00:00.000000000,42.147592019714764
District of Columbia,2002-07-01T00:00:00.000000000,71.17659505208333
North Carolina,2002-07-01T00:00:00.000000000,113.63281784590119
Utah,2002-07-01T00:00:00.000000000,15.503979665444904
North Dakota,2002-07-01T00:00:00.000000000,77.8722171900161
South Carolina,2002-07-01T00:00:00.000000000,82.22760497883716
Mississippi,2002-07-01T00:00:00.000000000,135.981986100951
Colorado,2002-07-01T00:00:00.000000000,25.83606925843254
South Dakota,2002-07-01T00:00:00.000000000,45.83132845188285
Oklahoma,2002-07-01T00:00:00.000000000,88.24953497922505
Wyoming,2002-07-01T00:00:00.000000000,26.956874340348918
West Virginia,2002-07-01T00:00:00.000000000,129.14023333333333
Maine,2002-07-01T00:00:00.000000000,101.0963063063063
Hawaii,2002-07-01T00:00:00.000000000,
New Hampshire,2002-07-01T00:00:00.000000000,54.13396214846305
Arizona,2002-07-01T00:00:00.000000000,33.17344838981014
Rhode Island,2002-07-01T00:00:00.000000000,37.82401072485207
Maryland,2002-08-01T00:00:00.000000000,74.68144288863488
Iowa,2002-08-01T00:00:00.000000000,147.89405479452054
Delaware,2002-08-01T00:00:00.000000000,73.15889699835526
Ohio,2002-08-01T00:00:00.000000000,53.9375672249539
Pennsylvania,2002-08-01T00:00:00.000000000,67.79838068574588
Nebraska,2002-08-01T00:00:00.000000000,89.51048613901165
Washington,2002-08-01T00:00:00.000000000,7.812584727204472
Puerto Rico,2002-08-01T00:00:00.000000000,
Alabama,2002-08-01T00:00:00.000000000,82.15659100094301
Arkansas,2002-08-01T00:00:00.000000000,85.42566233600814
